순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
150,라이언,2017-02-01,"778,355,700",0.0%,"104,218",205,호주,"호주,영국,미국",(주)이수C&E
151,더 테이블,2017-08-24,"830,762,100",0.0%,"103,054",272,한국,한국,(주)엣나인필름
152,루시드 드림,2017-02-22,"759,481,000",0.0%,"102,170",461,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
153,딥워터 호라이즌,2017-01-25,"775,611,543",0.0%,"100,021",433,미국,미국,메가박스중앙(주)플러스엠
154,슈퍼 빼꼼: 스파이 대작전,2017-05-03,"711,134,900",0.0%,"99,480",358,한국,한국,메가박스중앙(주)플러스엠
155,김광석,2017-08-30,"772,483,500",0.0%,"98,231",223,한국,한국,(주)비엠컬쳐스
156,다크타워: 희망의 탑,2017-08-23,"761,759,275",0.0%,"97,017",497,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
157,인비저블 게스트,2017-09-21,"762,930,200",0.0%,"94,877",232,스페인,스페인,(주)더블앤조이픽쳐스
158,사일런스,2017-02-28,"700,818,300",0.0%,"94,750",342,미국,"미국,대만,멕시코",씨네그루(주)키다리이엔티
159,노 게임 노 라이프 -제로-,2017-10-19,"738,618,300",0.0%,"90,643",121,일본,일본,(주)박수엔터테인먼트
160,몬스터 콜,2017-09-14,"699,851,900",0.0%,"89,560",349,스페인,스페인,롯데쇼핑㈜롯데엔터테인먼트
161,지랄발광 17세,2017-06-28,"656,251,800",0.0%,"83,258",90,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
162,파도가 지나간 자리,2017-03-08,"638,371,200",0.0%,"82,717",276,미국,"미국,뉴질랜드,영국",CGV아트하우스
163,원더,2017-12-27,"632,389,700",0.0%,"81,680",183,미국,미국,CGV아트하우스
164,꼬마참새 리차드: 아프리카 원정대,2017-06-15,"599,076,600",0.0%,"81,136",319,독일,"독일,벨기에,룩셈부르크,노르웨이",씨네그루(주)키다리이엔티
165,너와 100번째 사랑,2017-05-25,"632,544,500",0.0%,"80,415",140,일본,일본,(주)디스테이션
166,드래곤 스펠: 마법 꽃의 비밀,2017-08-15,"582,071,200",0.0%,"79,446",164,독일,"독일,우크라이나",㈜코리아스크린
167,오즈: 신기한 마법가루,2017-07-20,"565,456,600",0.0%,"78,440",343,러시아,러시아,(주)스마일이엔티
168,오두막,2017-04-20,"581,005,200",0.0%,"75,657",396,미국,미국,판씨네마(주)
169,패트리어트 데이,2017-04-06,"593,983,618",0.0%,"74,827",375,미국,미국,(주)이수C&E
170,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,"481,425,000",0.0%,"73,797",167,영국,영국,와이드 릴리즈(주)
171,파워레인져스: 더 비기닝,2017-04-20,"570,203,561",0.0%,"72,495",479,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
172,더 서클,2017-06-22,"578,129,700",0.0%,"71,362",169,미국,미국,씨네그루(주)키다리이엔티
173,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017-11-09,"501,257,700",0.0%,"65,895",370,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
174,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,"480,445,900",0.0%,"63,372",480,일본,일본,(주)이수C&E
175,뷰티풀 투모로우,2017-10-26,"552,273,700",0.0%,"63,279",47,한국,한국,씨제이 씨지브이(CJ CGV)(주)
176,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,"441,475,500",0.0%,"62,454",135,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
177,극장판 쿠로코의 농구 라스트 게임,2017-04-27,"462,290,000",0.0%,"62,393",96,일본,일본,(주)박수엔터테인먼트
178,더 크리스마스,2017-12-21,"461,785,500",0.0%,"62,082",158,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
179,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,2017-01-25,"404,919,500",0.0%,"60,935",145,영국,영국,와이드 릴리즈(주)
180,나의 붉은고래,2017-06-15,"445,520,500",0.0%,"58,449",390,중국,중국,(주)영화사 빅
181,밤의 해변에서 혼자,2017-03-23,"438,976,092",0.0%,"56,995",133,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
182,래빗 스쿨,2017-11-23,"401,768,900",0.0%,"55,784",314,독일,독일,예지림엔터테인먼트
183,맨체스터 바이 더 씨,2017-02-15,"446,621,000",0.0%,"55,658",109,미국,미국,THE 픽쳐스
184,위시 어폰,2017-07-20,"434,148,000",0.0%,"55,110",279,미국,미국,(주)이수C&E
185,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,2017-12-14,"424,665,700",0.0%,"54,988",207,일본,일본,"(주)이수C&E,(주)에이원엔터테인먼트"
186,매혹당한 사람들,2017-09-06,"412,751,500",0.0%,"54,026",395,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
187,튤립 피버,2017-12-14,"417,768,549",0.0%,"52,144",359,영국,"영국,미국",(주)팝엔터테인먼트
188,윈드 리버,2017-09-14,"391,538,700",0.0%,"50,813",330,미국,"미국,영국,캐나다",(주)유로커뮤니케이션
189,언더더씨,2017-06-22,"382,413,600",0.0%,"49,958",163,미국,미국,(주)팝엔터테인먼트
190,미스 슬로운,2017-03-29,"381,394,300",0.0%,"48,051",104,미국,"미국,프랑스",(주)메인타이틀픽쳐스
191,매기스 플랜,2017-01-25,"382,361,800",0.0%,"47,668",94,미국,미국,오드
192,잃어버린 도시 Z,2017-09-21,"362,053,440",0.0%,"47,088",398,미국,미국,(주)영화사 빅
193,심야식당 2,2017-06-08,"366,485,900",0.0%,"46,682",235,일본,일본,(주)디스테이션
194,마더!,2017-10-19,"368,306,382",0.0%,"46,677",398,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
195,"그래, 가족",2017-02-15,"350,293,300",0.0%,"46,623",361,한국,한국,월트디즈니컴퍼니코리아 유한책임회사
196,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,"317,454,000",0.0%,"45,484",149,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
197,내가 죽기 전에 가장 듣고 싶은 말,2017-07-19,"332,742,600",0.0%,"45,347",154,미국,미국,"(주)메인타이틀픽쳐스,주식회사 키위컴퍼니"
198,댄서,2017-04-13,"363,899,049",0.0%,"45,034",43,영국,"영국,러시아,우크라이나,미국",(주)엣나인필름
199,"당신, 거기 있어줄래요",2016-12-14,"362,048,400",0.0%,"43,810",767,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
200,하이큐!! 재능과 센스,2017-11-15,"308,774,500",0.0%,"42,972",105,일본,일본,(주)이수C&E
201,꼬마돼지 베이브의 대모험,2017-06-15,"293,359,100",0.0%,"42,879",312,독일,독일,(주)박수엔터테인먼트
202,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,"338,294,000",0.0%,"42,413",172,일본,일본,(주)박수엔터테인먼트
203,예감은 틀리지 않는다,2017-08-10,"328,415,900",0.0%,"41,994",85,영국,영국,CGV아트하우스
204,"나, 다니엘 블레이크",2016-12-08,"290,372,700",0.0%,"41,248",63,영국,영국,(주)영화사 진진
205,레이디버그,2017-02-22,"310,291,500",0.0%,"41,041",172,한국,"한국,프랑스,일본",(주)삼지애니메이션
206,이모티: 더 무비,2017-08-02,"290,079,700",0.0%,"40,372",134,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
